label, timestamp
Parade, 15.482000
People, 15.482000
Person, 15.482000
Protest, 15.482000
Rally, 15.482000
Symbol, 15.482000
Transportation, 15.482000
Vehicle, 15.482000
Apparel, 15.982000
Clothing, 15.982000
Coat, 15.982000
Crowd, 15.982000
Festival, 15.982000
Flag, 15.982000
Human, 15.982000
Marching, 15.982000
Offroad, 15.982000
Parade, 15.982000
People, 15.982000
Person, 15.982000
Protest, 15.982000
Rally, 15.982000
Symbol, 15.982000
Transportation, 15.982000
Vehicle, 15.982000
Apparel, 16.483000
Clothing, 16.483000
Coat, 16.483000
Crowd, 16.483000
Face, 16.483000
Festival, 16.483000
Flag, 16.483000
Footwear, 16.483000
Human, 16.483000
Marching, 16.483000
Offroad, 16.483000
Parade, 16.483000
People, 16.483000
Person, 16.483000
Protest, 16.483000
Rally, 16.483000
Shoe, 16.483000
Symbol, 16.483000
Transportation, 16.483000
Vehicle, 16.483000
Apparel, 16.983000
Clothing, 16.983000
Coat, 16.983000
Crowd, 16.983000
Festival, 16.983000
Footwear, 16.983000
Human, 16.983000
Marching, 16.983000
Offroad, 16.983000
Parade, 16.983000
People, 16.983000
Person, 16.983000
Protest, 16.983000
Rally, 16.983000
Shoe, 16.983000
Symbol, 16.983000
Transportation, 16.983000
Vehicle, 16.983000
Apparel, 17.484000
Clothing, 17.484000
Crowd, 17.484000
Festival, 17.484000
Footwear, 17.484000
Human, 17.484000
Marching, 17.484000
Offroad, 17.484000
Parade, 17.484000
People, 17.484000
Person, 17.484000
Protest, 17.484000
Rally, 17.484000
Shoe, 17.484000
Transportation, 17.484000
Vehicle, 17.484000
Apparel, 17.984000
Clothing, 17.984000
Crowd, 17.984000
Festival, 17.984000
Footwear, 17.984000
Human, 17.984000
Marching, 17.984000
Offroad, 17.984000
Paper, 17.984000
Parade, 17.984000
People, 17.984000
Person, 17.984000
Protest, 17.984000
Rally, 17.984000
Shoe, 17.984000
Symbol, 17.984000
Transportation, 17.984000
Vehicle, 17.984000
Apparel, 18.485000
Clothing, 18.485000
Crowd, 18.485000
Festival, 18.485000
Footwear, 18.485000
Helmet, 18.485000
Human, 18.485000
Marching, 18.485000
Offroad, 18.485000
Parade, 18.485000
People, 18.485000
Person, 18.485000
Protest, 18.485000
Rally, 18.485000
Symbol, 18.485000
Transportation, 18.485000
Vehicle, 18.485000
Advertisement, 18.985000
Apparel, 18.985000
Brochure, 18.985000
Clothing, 18.985000
Crowd, 18.985000
Festival, 18.985000
Flyer, 18.985000
Footwear, 18.985000
Helmet, 18.985000
Human, 18.985000
Marching, 18.985000
Offroad, 18.985000
Paper, 18.985000
Parade, 18.985000
People, 18.985000
Person, 18.985000
Poster, 18.985000
Protest, 18.985000
Rally, 18.985000
Shoe, 18.985000
Symbol, 18.985000
Transportation, 18.985000
Vehicle, 18.985000
Advertisement, 19.486000
Apparel, 19.486000
Brochure, 19.486000
Clothing, 19.486000
Coat, 19.486000
Crowd, 19.486000
Festival, 19.486000
Flyer, 19.486000
Footwear, 19.486000
Human, 19.486000
Marching, 19.486000
Offroad, 19.486000
Paper, 19.486000
Parade, 19.486000
People, 19.486000
Person, 19.486000
Poster, 19.486000
Protest, 19.486000
Rally, 19.486000
Shoe, 19.486000
Transportation, 19.486000
Vehicle, 19.486000
Advertisement, 19.986000
Apparel, 19.986000
Brochure, 19.986000
Clothing, 19.986000
Crowd, 19.986000
Festival, 19.986000
Flyer, 19.986000
Footwear, 19.986000
Helmet, 19.986000
Human, 19.986000
Offroad, 19.986000
Paper, 19.986000
Parade, 19.986000
People, 19.986000
Person, 19.986000
Photographer, 19.986000
Poster, 19.986000
Protest, 19.986000
Rally, 19.986000
Shoe, 19.986000
Transportation, 19.986000
Vehicle, 19.986000
Advertisement, 20.487000
Apparel, 20.487000
Brochure, 20.487000
Clothing, 20.487000
Coat, 20.487000
Crowd, 20.487000
Face, 20.487000
Festival, 20.487000
Flyer, 20.487000
Footwear, 20.487000
Helmet, 20.487000
Human, 20.487000
Offroad, 20.487000
Paparazzi, 20.487000
Paper, 20.487000
Parade, 20.487000
People, 20.487000
Person, 20.487000
Photographer, 20.487000
Poster, 20.487000
Protest, 20.487000
Rally, 20.487000
Shoe, 20.487000
Transportation, 20.487000
Vehicle, 20.487000
Advertisement, 20.987000
Apparel, 20.987000
Brochure, 20.987000
Clothing, 20.987000
Coat, 20.987000
Crowd, 20.987000
Face, 20.987000
Festival, 20.987000
Flyer, 20.987000
Footwear, 20.987000
Helmet, 20.987000
Human, 20.987000
Jacket, 20.987000
Leisure Activities, 20.987000
Offroad, 20.987000
Paper, 20.987000
Parade, 20.987000
People, 20.987000
Person, 20.987000
Photographer, 20.987000
Poster, 20.987000
Protest, 20.987000
Rally, 20.987000
Shoe, 20.987000
Transportation, 20.987000
Vehicle, 20.987000
Apparel, 21.488000
Clothing, 21.488000
Coat, 21.488000
Crowd, 21.488000
Face, 21.488000
Festival, 21.488000
Footwear, 21.488000
Helmet, 21.488000
Human, 21.488000
Jacket, 21.488000
Offroad, 21.488000
Parade, 21.488000
People, 21.488000
Person, 21.488000
Photographer, 21.488000
Rally, 21.488000
Shoe, 21.488000
Transportation, 21.488000
Vehicle, 21.488000
Apparel, 21.988000
Audience, 21.988000
Cap, 21.988000
Clothing, 21.988000
Coat, 21.988000
Costume, 21.988000
Crowd, 21.988000
Face, 21.988000
Festival, 21.988000
Footwear, 21.988000
Hat, 21.988000
Helmet, 21.988000
Human, 21.988000
Jacket, 21.988000
Offroad, 21.988000
Parade, 21.988000
People, 21.988000
Person, 21.988000
Rally, 21.988000
Shoe, 21.988000
Transportation, 21.988000
Vehicle, 21.988000
Apparel, 22.489000
Cap, 22.489000
Clothing, 22.489000
Coat, 22.489000
Costume, 22.489000
Crowd, 22.489000
Festival, 22.489000
Footwear, 22.489000
Hat, 22.489000
Helmet, 22.489000
Human, 22.489000
Offroad, 22.489000
Parade, 22.489000
People, 22.489000
Person, 22.489000
Protest, 22.489000
Rally, 22.489000
Shoe, 22.489000
Transportation, 22.489000
Vehicle, 22.489000
Apparel, 22.989000
Cap, 22.989000
Clothing, 22.989000
Coat, 22.989000
Crowd, 22.989000
Footwear, 22.989000
Hat, 22.989000
Helmet, 22.989000
Human, 22.989000
Jacket, 22.989000
Offroad, 22.989000
Parade, 22.989000
People, 22.989000
Person, 22.989000
Protest, 22.989000
Rally, 22.989000
Shoe, 22.989000
Transportation, 22.989000
Vehicle, 22.989000
Apparel, 23.490000
Cap, 23.490000
Clothing, 23.490000
Coat, 23.490000
Crowd, 23.490000
Festival, 23.490000
Footwear, 23.490000
Hat, 23.490000
Helmet, 23.490000
Human, 23.490000
Jacket, 23.490000
Offroad, 23.490000
Parade, 23.490000
People, 23.490000
Person, 23.490000
Protest, 23.490000
Rally, 23.490000
Shoe, 23.490000
Transportation, 23.490000
Vehicle, 23.490000
Apparel, 23.990000
Cap, 23.990000
Clothing, 23.990000
